35 1000
20 100
316 1686 10 47

Coordinates
1      -4.1956     -0.56676       4.3341
2      -4.1956      0.02757       4.3341
3      -4.4585     -0.56676       3.7274
4      -4.1956     -0.56676        3.656
5      -4.1956     -0.46386       3.6396
6      -4.6148     -0.56676       3.7673
7      -4.9357     -0.56676       4.3341
8      -4.7925     -0.11757       4.3341
9      -4.4857      -0.2265       3.6911
10      -4.4857      -0.2265       3.6911
11      -4.1956      0.02757       3.6414
12      -4.9357      0.02757       4.3341
13      -5.0218     -0.11333        3.961
14      -5.0218     -0.11333        3.961
15      -5.3371        -0.25       4.3341
16      -4.7111     -0.56676       3.1442
17      -4.1956     -0.56676       3.0085
18      -5.5598     -0.56676       4.3341
19      -4.1956     -0.36625       2.9809
20      -5.0102     -0.56676       3.2327
21      -5.5699     -0.39414       3.9766
22      -5.5699     -0.39414       3.9766
23      -4.1956      0.02757       2.9828
24      -5.5598      0.02757       4.3341
25      -5.2378      0.02757        3.409
26      -5.5984     -0.56676       3.5116
27      -5.8128     -0.36567       4.3341
28       -5.676      0.02757       3.8236
29      -4.9089      0.02757       2.8893
30      -6.0632     -0.46797       4.0436
31      -6.0632     -0.46797       4.0436
32        -4.95     -0.56676       2.5925
33      -6.1288     -0.56676       4.3341
34      -4.1956     -0.56676       2.3973
35      -5.3813     -0.56676        2.731
36      -4.1956     -0.27421       2.3597
37      -6.1299     -0.56676       3.8201
38      -6.1288      0.02757       4.3341
39      -6.2479     -0.47149       4.3341
40      -4.1956      0.02757        2.362
41      -5.8767     -0.20738       3.1773
42      -5.8767     -0.20738       3.1773
43      -4.7372      0.02757       2.3787
44      -5.9216      0.02757       3.1556
45      -6.1743      0.02757       3.5702
46      -6.2643     -0.44469        3.541
47      -6.2643     -0.44469        3.541
48      -5.6558      0.02757       2.7194
49      -6.2126     -0.56676        3.306
50      -4.4895    -0.086748        2.138
51      -4.4895    -0.086748        2.138
52      -6.4134      0.02757       3.9627
53      -6.0592     -0.56676       2.8718
54      -6.3391    -0.046141       3.3866
55      -6.3391    -0.046141       3.3866
56      -6.6397     -0.56676       4.3341
57      -5.3775      0.02757       2.2626
58      -5.1746     -0.56676       2.0742
59      -6.6397     -0.56676       3.9229
60      -4.6338      0.02757       1.9492
61      -4.1956     -0.56676       1.8351
62      -6.6397      0.02757       4.3341
63      -6.1963      0.02757       2.9183
64      -6.6397    -0.046547        3.922
65      -6.6336      0.02757       3.9278
66      -6.6397      0.02757        3.915
67      -5.7182     -0.56676       2.2755
68      -4.1956     -0.19106       1.7986
69       -6.301    -0.071468        2.958
70       -6.301    -0.071468        2.958
71      -6.6397     -0.56676       3.5116
72      -4.1956      0.02757        1.799
73      -6.6397     -0.12066       3.5099
74      -6.6275      0.02757       3.5215
75      -6.6397      0.02757        3.496
76      -5.1115      0.02757       1.8261
77       -6.056      0.02757       2.4184
78      -6.6397     -0.56676       3.1004
79      -6.2243     -0.56676       2.4891
80      -4.5537    -0.094599       1.6395
81      -4.5537    -0.094599       1.6395
82      -6.6397     -0.19478       3.0978
83      -6.6214      0.02757       3.1151
84      -4.3828     -0.46843        1.537
85      -4.3828     -0.46843        1.537
86      -6.6397      0.02757       3.0769
87      -6.2569     -0.10029       2.4556
88      -6.2569     -0.10029       2.4556
89      -4.8035     -0.56676       1.4626
90      -5.7224      0.02757       1.8969
91      -6.6397     -0.56676       2.6891
92      -6.6397      -0.2689       2.6858
93      -5.3753     -0.56676       1.6107
94      -6.6153      0.02757       2.7088
95      -6.2463     -0.56676       2.1717
96      -4.1956     -0.56676       1.3517
97      -6.6397      0.02757       2.6578
98      -4.8752      0.02757       1.4383
99      -4.1956      -0.1203        1.321
100      -6.0096     -0.56676       1.8816
